Branch Name,Street Address,County,State,Zipcode
upper montclair drive-in branch,580 VALLEY ROAD,Essex,NJ,7043.0
verona branch,566 BLOOMFIELD AVENUE,Essex,NJ,
verona pompton branch,30 POMPTON AND CLAREMONT AVENUE,Essex,NJ,
north bergen branch,8101 TONNELLE AVENUE,Hudson,NJ,7047.0
orange - main street branch,300 MAIN STREET,Essex,NJ,7050.0
parsippany road branch,100 PARSIPPANY ROAD,Morris,NJ,7054.0
passaic - main avenue branch,620 MAIN AVENUE,Passaic,NJ,7055.0
wallington branch,93 MAIN AVENUE,Bergen,NJ,7057.0
mount pleasant branch,2 MOUNT PLEASANT AVENUE,,NJ,7057.0
warren mt bethel rd branch,"9 MOUNT BETHEL RD, STE 211",Somerset,NJ,7059.0
plainfield banking center branch,200 WEST 2ND STREET,Union,NJ,7060.0
roseland branch,28 EISENHOWER PARKWAY,Essex,NJ,7068.0
watchung branch,1605 US HWY 22,Somerset,NJ,7069.0
watching circle banking ctr branch,60 STIRLING ROAD,Somerset,NJ,7069.0
rutherford branch,24 PARK AVENUE,Bergen,NJ,7070.0
ridge branch,301 RIDGE ROAD,Bergen,NJ,7071.0
east rutherford branch,90 HACKENSACK STREET,Bergen,NJ,7073.0
short hills branch,800 MORRIS TURNPIKE,Essex,NJ,7078.0
south orange branch,18 S. ORANGE AVENUE,Essex,NJ,7079.0
south plainfield banking ctr branch,5201 STELTON ROAD,Middlesex,NJ,7080.0
union stuyvesant branch,1224 STUYVESANT AVE,Union,NJ,7083.0
union city branch,"3196 KENNEDY BOULEVARD, KENNEDY CENTER",Hudson,NJ,7087.0
westfield branch,302 EAST BROAD STREET,Union,NJ,7090.0
bergenline branch,4921 BERGENLINE AVENUE,Hudson,NJ,7093.0
harmon tower branch,1 HARMON PLAZA,,NJ,7094.0
harmon meadow branch,450 PLAZA DRIVE,Hudson,NJ,7094.0
woodbridge shopping center branch,877 SAINT GEORGE AVENUE,Middlesex,NJ,7095.0
newark branch,744 BROAD STREET,Essex,NJ,7102.0
newark - broad & fulton branch,570 BROAD STREET,Essex,NJ,7102.0
belleville franklin street branch,181 FRANKLIN STREET,Essex,NJ,7109.0
nutley center st branch,351 CENTRE ST.,Essex,NJ,7110.0
roselle branch,700 EAST 1ST AVENUE,Union,NJ,7203.0
hillside branch,1152 LIBERTY AVENUE,Union,NJ,7205.0
elizabeth north broad banking ctr branch,339 NORTH BROAD STREET,Union,NJ,7208.0
christopher columbus branch,56 CHRISTOPHER COLUMBUS DR,Hudson,NJ,7302.0
journal square branch,2 JOURNAL SQUARE PLZ,Hudson,NJ,7306.0
the heights branch,374 CENTRAL AVENUE,Hudson,NJ,7307.0
newport center branch,575 WASHINGTON BOULEVARD,Hudson,NJ,7310.0
custodial trust company branch,575 WASHINGTON BOULEVARD,Hudson,nj,7310.0
elmwood park branch,179 MARKET STREET,Bergen,nj,7407.0
route 4 elmwood park branch,100 BROADWAY (ELMWOOD PK),Bergen,nj,7407.0
fair lawn branch,13-51 RIVER ROAD,Bergen,nj,7410.0
broadway fairlawn branch,27-02 BROADWAY,Bergen,nj,7410.0
radburn branch,21-01 FAIR LAWN AVENUE,Bergen,nj,7410.0
franklin branch,300 STATE ROUTE 23,Sussex,nj,7416.0
becton dickinson corporate branch,1 BECTON DRIVE,,nj,7417.0
franklin lakes branch,845 FRANKLIN LAKES ROAD,,nj,7417.0
woodland park branch,989 MCBRIDE AVENUE,Passaic,nj,7424.0
midland park branch,129 GODWIN AVENUE,Bergen,nj,7432.0
oakland ramapo valley rd branch,345 RAMAPO VALLEY ROAD,Bergen,nj,7436.0
jefferson township branch,5742 BERKSHIRE VALLEY ROAD,Morris,nj,7438.0
mahwah banking center branch,555 NORTH FRANKLIN TURNPIKE,Bergen,nj,7446.0
ramsey north spruce branch,18 NORTH SPRUCE ST,Bergen,nj,7446.0
ridgewood branch,84 EAST RIDGEWOOD AVENUE EAST,Bergen,nj,7450.0
godwin avenue branch,67 GODWIN AVENUE,Bergen,nj,7450.0
riverdale branch,20 HAMBURG TURNPIKE,Morris,nj,
sussex branch,59 MAIN STREET,Sussex,nj,7461.0
wantage branch,295 ROUTE 23,Sussex,nj,7461.0
vernon rt 515 branch,550 COUNTY ROAD 515,Sussex,nj,7462.0
wayne valley road branch,1401 VALLEY ROAD,Passaic,NJ,7470.0
wyckoff branch,525 CEDAR HILL AVENUE,Bergen,NJ,7481.0
paterson branch,1117 MAIN ST #19,Passaic,NJ,7503.0
patterson market branch,148 MARKET STREET,,NJ,7505.0
hawthorne branch,331 LAFAYETTE AVENUE,Passaic,NJ,7506.0
haledon branch,396 HALEDON AVENUE,Passaic,NJ,7508.0
totowa union blvd branch,169 UNION BLVD,Passaic,NJ,7512.0
hackensack branch,505 MAIN STREET,Bergen,NJ,7601.0
riverfront plaza branch,500 S. RIVER STREET,Bergen,NJ,7601.0
bergen mall branch,177 W SPRING VALLEY AVE,Bergen,NJ,7607.0
bergenfield branch,221 NORTH WASHINGTON AVENUE,Bergen,NJ,7621.0
englewood branch,55 WEST PALISADES AVENUE,Bergen,NJ,7631.0
englewood branch,50 GRAND AVENUE,Bergen,NJ,7631.0
haworth branch,139 TERRACE STREET,Bergen,NJ,7641.0
essex street branch,370 ESSEX STREET,Bergen,NJ,7644.0
montvale banking center branch,22A CHESTNUT RIDGE ROAD,Bergen,NJ,7645.0
new milford - river road branch,830 RIVER ROAD,Bergen,NJ,7646.0
northvale banking center branch,"271 LIVINGSTON STREET, SUITE A",Bergen,NJ,7647.0
norwood broadway branch,588 BROADWAY AND LIVINGSTON STREET,Bergen,NJ,7648.0
oradell branch,417 KINDERKAMACK ROAD,Bergen,NJ,7649.0
palisades park branch,460 BERGEN BOULEVARD,Bergen,NJ,7650.0
midland avenue branch,36 EAST MIDLAND AVENUE,Bergen,NJ,7652.0
paramus - private banking branch,36 MIDLAND AVENUE EAST,,NJ,7652.0
paramus branch,312 FOREST AVENUE,,NJ,7652.0
park ridge ridgemont branch,169 KINDERKAMACK ROAD,Bergen,NJ,7656.0
boulevard branch,504 BERGEN BOULEVARD,Bergen,NJ,7657.0
river edge branch,686 KINDERKAMACK ROAD,Bergen,NJ,7661.0
saddle brook branch,289 MARKET STREET,Bergen,NJ,7662.0
the plaza branch,170 THE PLAZA,Bergen,NJ,7666.0
cedar lane branch,205 CEDAR LANE,Bergen,NJ,7666.0
teaneck banking center branch,627 CEDAR LANE,Bergen,NJ,7666.0
tenafly banking center branch,115 COUNTY ROAD,Bergen,NJ,7670.0
westwood branch,499 BROADWAY,Bergen,NJ,7675.0
old tappan branch,216 OLD TAPPAN ROAD,Bergen,NJ,7675.0
red bank branch,32 BROAD STREET,Monmouth,NJ,7701.0
north red bank banking center branch,430 STATE ROUTE 35,Monmouth,NJ,7701.0
shrewsbury branch,1150 BROAD STREET,Monmouth,NJ,7702.0
new bedford branch,2601 STATE ROUTE 138,Monmouth,NJ,7719.0
bradley beach branch,500 MAIN STREET,Monmouth,NJ,7720.0
colts neck banking center branch,290 STATE ROUTE 34,Monmouth,NJ,7722.0
deal branch,50 ATLANTIC AVE.,Monmouth,NJ,7723.0
marlboro plaza branch,146 US HWY 9,Monmouth,NJ,7726.0
towne pointe center branch,"357 NEW JERSEY HWY 9 S, STE 1",Monmouth,NJ,7726.0
freehold branch,61 WEST MAIN STREET,Monmouth,NJ,
west freehold branch,302 W MAIN ST,Monmouth,NJ,
east manalanpan bnkg ctr branch,4413 US HIGHWAY 9,Monmouth,NJ,7728.0
hazlet branch,2983 ST RTE 35,Monmouth,NJ,7730.0
north howell banking center branch,1998 US HIGHWAY 9,Monmouth,NJ,7731.0
long branch banking center branch,160 BRIGHTON AVENUE,Monmouth,NJ,7740.0
aberdeen shoprite branch,318 LLOYD ROAD,Monmouth,NJ,7747.0
middletown shoprite branch,"1361 ST RTE 35, STE 1",Monmouth,NJ,7748.0
neptune banking center branch,3550 ROUTE 66,Monmouth,NJ,7753.0
spring lake branch,1310 THIRD AVENUE,Monmouth,NJ,7762.0
dover branch,1 EAST CLINTON STREET,Morris,NJ,7801.0
montague branch,14 ROUTE 23,Sussex,NJ,7827.0
denville branch,57 DIAMOND SPRING RD,Morris,NJ,7834.0
hackettstown branch,227 MOUNTAIN AVENUE,Warren,NJ,7840.0
lake hopatcong branch,15 BOWLING GREEN PARKWAY,Morris,NJ,7849.0
roxbury branch,1250 NEW JERSEY HIGHWAY 46,Morris,NJ,7852.0
andover branch,241 NEWTON-SPARTA ROAD,Sussex,NJ,7860.0
hampton rt 206 branch,120 HAMPTON HOUSE ROAD,Sussex,NJ,7860.0
rockaway branch,16 GREEN POND ROAD,Morris,NJ,7866.0
randolph rt 10 branch,80 DOVER CHESTER ROAD,Morris,NJ,7869.0
mount freedom sussex branch,1199 SUSSEX TURNPIKE,,NJ,7869.0
sparta branch,27 SPARTA AVENUE,Sussex,NJ,7871.0
summit branch,67-69 SUMMIT AVENUE,Union,NJ,7901.0
pluckemin banking center branch,215 US HWY 202 206,Somerset,NJ,7921.0
bedminster branch,2484 LAMINGTON ROAD,Somerset,NJ,7921.0
berkeley heights branch,96 SNYDER AVENUE,Union,NJ,7922.0
bernardsville branch,54 MORRISTOWN ROAD,Somerset,NJ,7924.0
chatham banking center branch,215 MAIN STREET,Morris,NJ,7928.0
chester and east main street branch,44 MAIN STREET,Morris,NJ,7930.0
florham park branch,186 RIDGEDALE AVENUE,Morris,NJ,7932.0
florham park branch,77 HANOVER ROAD,Morris,NJ,7932.0
east hanover branch,399 RIDGEDALE AVENUE,Morris,NJ,7936.0
madison waverly branch,2 WAVERLY PLACE,Morris,NJ,7940.0
morris plains branch,599 SPEEDWELL AVENUE,,NJ,7950.0
morris plains - route 10 branch,1711 STAR ROUTE 10,Morris,NJ,7950.0
south street branch,225 SOUTH STREET,Morris,NJ,7960.0
morristown - private banking branch,225 SOUTH STREET,,NJ,7960.0
new vernon branch,15 VILLAGE ROAD,Morris,NJ,7976.0
stirling branch,1300 VALLEY ROAD,Morris,NJ,7980.0
whippany village banking center branch,480 STATE ROUTE 10,Morris,NJ,7981.0
doc cramer boulevard branch,447 MARTIN TRUEX JR BOULEVARD,Ocean,NJ,8050.0
east windsor banking center branch,392 NEW JERSEY HWY 130,Mercer,NJ,8520.0
jackson banking center branch,332 NORTH COUNTY LINE ROAD,Ocean,NJ,8527.0
hopewell banking center branch,795 DENOW ROAD,Mercer,NJ,8534.0
princeton branch,16 NASSAU STREET,Mercer,NJ,8542.0
west windsor branch,63 PRINCETON HIGHTSTOWN RD,Mercer,NJ,8550.0
trenton south broad street branch,"2735 SOUTH BROAD STREET, SUITE 3",,NJ,8610.0
TRENTON ROEBLING MARKET BANKING CENTER BRANCH,635 SOUTH CLINTON AVENUE,Mercer,NJ,8611.0
EWING BRANCH,1852 N OLDEN AVE,Mercer,NJ,8638.0
LAWRENCEVILLE SHOPRITE BRANCH,3373 RTE 1,Mercer,NJ,
HAMILTON SQUARE BANKING CTR BRANCH,955 HIGHWAY 33,Mercer,NJ,8690.0
HAMILTON MARKETPLACE BRANCH,525 MARKET PLACE BOULEVARD,Mercer,NJ,8691.0
LAKEWOOD BRANCH,75 EAST KENNEDY BOULEVARD,Ocean,NJ,8701.0
LAKEWOOD PLAZA BRANCH,1700 MADISON AVENUE,Ocean,NJ,8701.0
MARKET PLACE AT BRICK BRANCH,499 ROUTE 70,Ocean,NJ,8723.0
FORKED RIVER BANKING CENTER,744 LACEY ROAD,Ocean,NJ,8731.0
MANASQUAN BRANCH,2500 ROUTE 35,Monmouth,NJ,8736.0
TOMS RIVER BRANCH,24 MAIN STREET,Ocean,NJ,8753.0
MANCHESTER PLAZA BRANCH,1059 RTE 70,Ocean,NJ,8759.0
BOUND BROOK BRANCH,427 W UNION AVE,Somerset,NJ,8805.0
EAST BRUNSWICK BANKING CENTER BRANCH,629 ROUTE 18,Middlesex,NJ,8816.0
CRANBURY ROAD EAST BRUNSWICK BANKING CENTER,"591 CRANBURY ROAD, STE 100",Middlesex,NJ,8816.0
DURHAM CENTER BRANCH,"4 ETHEL ROAD, SUITE 403A",Middlesex,NJ,8817.0
EDISON BANKING CENTER BRANCH,2163 OAK TREE ROAD,,NJ,8820.0
FLEMINGTON CIRCLE BRANCH,"75 REAVILLE AVENUE, SUITE 2",Hunterdon,NJ,8822.0
NORTH FLEMINGTON BRANCH,318 STATE ROUTE 31,Hunterdon,NJ,8822.0
FRANKLIN PARK BANKING CENTER BRANCH,3333 STATE ROUTE 27,Somerset,NJ,8823.0
JAMESBURG BANKING CENTER BRANCH,5 EAST RAILROAD AVENUE,Middlesex,NJ,8831.0
MONROE APPLEGARTH BANKING CTR BRANCH,320 APPLEGARTH ROAD,Middlesex,NJ,8831.0
SPOTSWOOD ENGLISHTOWN RD BRANCH,365 SPOTSWOOD-ENGLISHTOWN ROAD (MONROE),Middlesex,NJ,8831.0
RARITAN CENTER EDISON BRANCH,110 FIELDCREST AVENUE,Middlesex,NJ,8837.0
METUCHEN BRANCH,475 MAIN STREET,Middlesex,NJ,8840.0
HILLSBOROUGH HAMILTON AVENUE BANKING CENTER,381 US 206,Somerset,NJ,8844.0
SOUTH BRUNSWICK BANKING CNTR BRANCH,"4180 US ROUTE 1 NORTH, BLDG 300",Middlesex,NJ,8852.0
PISCATAWAY BRANCH,233 STELTON ROAD,Middlesex,NJ,8854.0
OLD BRIDGE BRANCH,20 BUSHNELL ROAD,Middlesex,NJ,8857.0
PERTH AMBOY BANKING CENTER BRANCH,130 SMITH STREET,Middlesex,NJ,8861.0
SOMERSET EASTON AVE BRANCH,940 EASTON AVENUE,Somerset,NJ,8873.0
FRANKLIN TOWNSHIP BRANCH,460 ELIZABETH AVE,Somerset,NJ,8873.0
SOMERVILLE BRANCH,6 SOUTH DAVENPORT STREET,Somerset,NJ,8876.0
BRANCHBURG SHOPRITE BRANCH,3166 STATE HWY 22 W,Somerset,NJ,8876.0
NEW BRUNSWICK BRANCH,133 NEILSON STREET,Middlesex,NJ,8901.0
GEORGE ST AND CHURCH BRANCH,390 GEORGE STREET,Middlesex,NJ,8901.0
NORTH BRUNSWICK BANKING CENTER BRANCH,1550 GEORGES ROAD,Middlesex,NJ,8902.0
FIT SEVENTH AVENUE BRANCH,305 SEVENTH AVENUE,Nyork,NY,10001.0
MADISON SQUARE GARDEN BRANCH,2 PENNSYLVANIA PLAZA,Nyork,NY,10001.0
JAVITS CONVENTION CENTER BRANCH,655 WEST 34TH STREET,Nyork,NY,10001.0
PENN STATION - CTCC BRANCH,"132 WEST 31ST STREET, GREENLY BUILDI",Nyork,NY,10001.0
NORTH CHELSEA BRANCH,245 7TH AVE,NVY,NY,10001.0
BROADWAY AND 32ND BRANCH,1260 BROADWAY,NVY,NY,10001.0
DELANCEY STREET BRANCH,109 DELANCEY STREET,NVY,NY,10002.0
UNIVERSITY PLACE BRANCH,32 UNIVERSITY PLACE,NVY,NY,10003.0
STUYVESANT TOWN BRANCH,255-257 FIRST AVENUE,NVY,NY,10003.0
WEST 14TH STREET BRANCH,69 5TH AVENUE,NVY,NY,10003.0
ASTOR PLACE BANKING CENTER BRANCH,26 ASTOR PLACE,NVY,NY,10003.0
BROADWAY & 10TH STREET BKG. CTR. BRANCH,785 BROADWAY,Nyork,NY,10003.0
SECOND AVE AND 10TH ST BRANCH,156 SECOND AVE,Nyork,NY,3324125.0
UNION SQUARE BRANCH,230 PARK AVENUE SOUTH,Nyork,NY,3324125.0
BOWERY & FIRST BANKING CENTER BRANCH,305 BOWERY,Nyork,NY,10003.0
THIRD AVE & 19TH ST BNKG CTR BRANCH,233 THIRD AVENUE,Nyork,NY,10003.0
BROADWAY AND 13TH BRANCH,835 BROADWAY,Nyork,NY,10003.0
PRUDENTIAL SECURITIES BRANCH,1 NEW YORK PLAZA,Nyork,NY,10004.0
BROADWAY MORRIS EXCHANGE BRANCH,42 BROADWAY,Nyork,NY,10004.0
SELECT DIRECT I BRANCH,"1 CHASE MANHATTAN PLAZA, 33RD FLOOR",Nyork,NY,10005.0
CHASE PLAZA BRANCH,28 LIBERTY ST,New York,NY,10005.0
SELECT DIRECT II BRANCH,"1 CHASE MANHATTAN PLAZA, 33RD FLOOR",New York,NY,10005.0
MORGAN GUAR. TR. CO. OF NY BRANCH,60 WALL STREET,New York,NY,10005.0
WALL STREET AND WILLIAMS BRANCH,45 WALL STREET,New York,NY,10005.0
BARCLAY ST BRANCH,101 BARCLAY STREET,New York,NY,10007.0
CITY HALL BANKING CENTER BRANCH,253 BROADWAY,,NY,10007.0
BROADWAY & CHAMBRS BRANCH,270 BROADWAY,,NY,10007.0
SIXTH AVENUE AND 23RD ST BRANCH,71 WEST 23RD STREET,New York,NY,10010.0
CS FIRST BOSTON CORP CASHIER BRANCH,11 MADISON AVENUE,New York,NY,10010.0
FIFTH AVENUE AND 27TH STREET BRANCH,225 5TH AVENUE,New York,NY,10010.0
FIFTH AVENUE AND 21ST STREET BRANCH,162 FIFTH AVENUE,New York,NY,10010.0
PETER COOPER BRANCH,333 E 23RD ST,New York,NY,10010.0
LONDON TERRACE BRANCH,475 WEST 23RD STREET,New York,NY,10011.0
CHELSEA BRANCH,"158 WEST 14TH STREET, 2ND FLOOR",New York,NY,10011.0
SIXTH AVE & WEST 28TH ST BNKG BRANCH,611 6TH AVENUE,New York,NY,10011.0
GREENWICH VILLAGE BRANCH,340 AVENUE OF THE AMERICAS,,NY,10011.0
EIGHTH AVE AND 15TH BRANCH,111 8TH AVE,,NY,10011.0
SOHO BRANCH,525 BROADWAY,New York,NY,10012.0
NOHO BRANCH,623 BROADWAY,New York,NY,10012.0
BROADWAY LISPENARD BRANCH,407 BROADWAY,New York,NY,10013.0
CHINATOWN BRANCH,180 CANAL STREET,New York,NY,10013.0
GRAND STREET BRANCH,231 GRAND STREET,New York,NY,10013.0
CHATHAM SQUARE BRANCH,2 BOWERY,New York,NY,10013.0
TRIBECA BANKING CENTER BRANCH,65 WORTH STREET,New York,NY,10013.0
CANAL ST AND BAXTER BRANCH,221 CANAL STREET,New York,NY,10013.0
SHERIDAN SQUARE BRANCH,204 WEST FOURTH STREET,New York,NY,10014.0
HUDSON STREET BRANCH,345 HUDSON STREET,,NY,10014.0
ABINGDON SQUARE BRANCH,302 WEST 12TH STREET,,NY,10014.0
EMPIRE STATE BRANCH,349 FIFTH AVENUE AND 34TH STREET,New York,NY,10016.0
NEW YORK LIFE BRANCH,386 PARK AVENUE SOUTH,New York,NY,10016.0
MURRAY HILL BRANCH,450 THIRD AVENUE,,NY,10016.0
PARK AVENUE AND 32ND STREET BRANCH,2 PARK AVENUE,,NY,10016.0
SECOND AVE AND 28TH ST,501 SECOND AVENUE,New York,NY,10016.0
MADISON AVE AND 38TH ST BRANCH,260 MADISON AVE,New York,NY,10016.0
31ST AND PARK AVENUE BRANCH,460 PARK AVENUE S,New York,NY,10016.0
THIRD AVENUE & 41ST STREET BRANCH,633 THIRD AVENUE,New York,NY,10017.0
MADISON AVE ABD 48TH ST BRANCH,401 MADISON AVENUE,New York,NY,10017.0
GRAND CENTRAL PLACE,60 EAST 42ND STREET,New York,NY,10017.0
FIRST AVE AND 44TH ST BRANCH,1 UNITED NATIONS PLAZA,New York,NY,10017.0
MADISON AND 48TH ST BRANCH,401 MADISON AVENUE,New York,NY,10017.0
SECOND AVENUE AND 43RD STREET BRANCH,801 2ND AVENUE,New York,NY,10017.0
45TH & LEXINGTON BRANCH,466 LEXINGTON AVE.,New York,NY,
40TH AND LEXINGTON BRANCH,355 LEXINGTON AVENUE,New York,NY,10017.0
GARMENT CENTER BRANCH,1411 BROADWAY,New York,NY,10018.0
PORT AUTHORITY BANKING CENTER BRANCH,615 8TH AVENUE,New York,NY,10018.0
37TH & SEVENTH BRANCH,498 7TH AVE,New York,NY,10018.0
AVENUE OF THE AMERICAS BRANCH,1370 AVENUE OF THE AMERICAS,New York,NY,10019.0
NEW YORK COLISEUM BRANCH,10 COLUMBUS CIRCLE,New York,NY,10019.0
NINTH AVENUE & 55TH STREET BRANCH,839 9TH AVENUE,New York,NY,10019.0
SEVENTH AVE. AND 53RD STREET BKG. CTR. BRANCH,810 7TH AVENUE,New York,NY,10019.0
CARNEGIE HALL BANKING CENTER BRANCH,171 WEST 57TH STREET,New York,NY,10019.0
RADIO CITY BRANCH,51 WEST 51ST STREET,New York,NY,10019.0
COLUMBUS CIRCLE BANKING CENTER BRANCH,1775 BROADWAY,New York,NY,10019.0
EXXON BUILDING BRANCH,1251 AVENUE OF THE AMERICAS,New York,NY,10020.0
FIRST AVENUE & 72ND STREET BRANCH,360 EAST 72ND STREET,New York,NY,10021.0
LEXINGTON AVENUE & 72ND STREET BRANCH,1003 LEXINGTON AVENUE,New York,NY,10021.0
MADISON AVENUE & 72ND STREET BRANCH,35 EAST 72ND STREET,New York,NY,10021.0
YORK AVENUE HOSPITAL BKG CNTR BRANCH,1324 YORK AVENUE,New York,NY,10021.0
THIRD AVE ADN 69TH ST BRANCH,1191 3RD AVENUE,New York,NY,10021.0
THIRD AVENUE & 51ST STREET BRANCH,850 THIRD AVENUE,New York,NY,10022.0
SUTTON PLACE BRANCH,994 FIRST AVENUE,New York,NY,10022.0
PARK AVENUE AND 55TH ST BRANCH,410 PARK AVENUE,New York,NY,10022.0
THIRD AVENUE AND 56TH STREET BRANCH,919 THIRD AVENUE,New York,NY,10022.0
GRAND MEEKMAN BANKING CENTER BRANCH,900 1ST AVENUE,,NY,10022.0
PARK AVENUE & 57TH STREET BKG. CTR. BRANCH,445 PARK AVENUE,,NY,10022.0
PARK AVENUE AND 52ND ST BRANCH,360 PARK AVENUE,,NY,10022.0
GM BUILDING BANKING CENTER BRANCH,610 MADISON AVENUE,,NY,10022.0
PARK AVENUE BRANCH,510 PARK AVENUE,,NY,10022.0
57TH & FIRST AVENUE BRANCH,360 E. 57TH STREET,,NY,10022.0
